  PID TTY      STAT   TIME COMMAND
 1306 tty2     Ssl+   0:00 /usr/lib/gdm3/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu gnome-session --session=ubuntu
 1308 ?        Ss     0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation
 1310 tty2     Sl+    0:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
 1369 ?        Ssl    0:00 /usr/lib/gvfs/gvfsd
 1374 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
 1395 tty2     Sl+    0:07 /usr/bin/gnome-shell
 1401 tty2     Sl+    0:00 /usr/bin/Xwayland :0 -rootless -terminate -core -listen 4 -listen 5 -displayfd 6
 1412 ?        Ssl    0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
 1417 ?        S      0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
 1419 ?        Sl     0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
 1425 ?        S<l    0:00 /usr/bin/pulseaudio --start --log-target=syslog
 1443 ?        Sl     0:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
 1444 tty2     Sl     0:00 ibus-daemon --xim --panel disable
 1448 tty2     Sl     0:00 /usr/lib/ibus/ibus-dconf
 1450 tty2     Sl     0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
 1463 ?        Sl     0:00 /usr/lib/dconf/dconf-service
 1469 ?        Ssl    0:00 /usr/lib/evolution/evolution-source-registry
 1470 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
 1477 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
 1481 ?        Sl     0:00 /usr/lib/gnome-online-accounts/goa-daemon
 1492 ?        Sl     0:00 /usr/lib/gnome-online-accounts/goa-identity-service
 1494 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
 1501 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
 1506 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
 1510 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-mouse
 1512 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-power
 1513 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
 1516 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
 1517 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
 1518 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-sharing
 1525 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
 1534 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-wacom
 1535 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
 1539 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-sound
 1541 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
 1542 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-a11y-keyboard
 1546 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-color
 1550 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-clipboard
 1551 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-housekeeping
 1552 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-datetime
 1553 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-media-keys
 1556 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-keyboard
 1564 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-printer
 1581 ?        Ssl    0:00 /usr/lib/evolution/evolution-calendar-factory
 1588 tty2     Sl     0:00 /usr/lib//ibus/ibus-engine-sunpinyin --ibus
 1622 tty2     Sl+    0:00 /usr/lib/gnome-disk-utility/gsd-disk-utility-notify
 1638 tty2     Sl+    0:00 nautilus-desktop
 1644 tty2     SLl+   0:00 /usr/bin/gnome-software --gapplication-service
 1645 tty2     S+     0:00 kerneloops-applet
 1654 ?        Sl     0:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1581x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1581/2
 1664 ?        Sl     0:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory contacts --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1581x3 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1581/3
 1675 ?        Ssl    0:00 /usr/lib/evolution/evolution-addressbook-factory
 1679 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
 1692 ?        Sl     0:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx1675x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/1675/2
 1711 ?        Ssl    0:00 /usr/lib/fwupd/fwupd
 1722 ?        Ssl    0:00 /usr/lib/gvfs/gvfsd-metadata
 1731 tty2     Sl+    0:00 update-notifier
 1772 tty2     Sl+    0:00 /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
 1785 ?        Sl     0:01 /usr/bin/nautilus --gapplication-service
 1793 ?        S      0:00 [kworker/7:0]
 1804 ?        Ssl    0:00 /usr/bin/zeitgeist-daemon
 1820 ?        Ssl    0:00 /usr/lib/zeitgeist/zeitgeist/zeitgeist-fts
 1869 ?        Sl     0:00 gedit /home/uzi/桌面/gitSPace/系统编程/exec_ps.c
 1877 ?        Ssl    0:00 /usr/lib/gnome-terminal/gnome-terminal-server
 1885 pts/0    Ss     0:00 bash
 1900 pts/0    R+     0:00 -anx -anx
